"pubyear","freq"
"1",2014,3693173
"2",2008,3534876
"3",2015,3344753
"4",2009,3275739
"5",2013,3145145
"6",2007,2923754
"7",2005,2491315
"8",2006,2453540
"9",2010,1860982
"10",2011,1836447
"11",2012,1682177
